きゅうやくさかば,"旧約酒場　～ Dateless Bar ""Old Adam"".",名詞,ZUN's Music Collection vol.9 (2016年8月13日 C90)
きゅうやくさかば,旧約酒場,名詞,ZUN's Music Collection vol.9 (2016年8月13日 C90)
ようがくだんのれきし１,幺樂団の歴史１　～ Akyu's Untouched Score vol.1,名詞,Akyu's Untouched Score vol.1 (2006年5月21日 例大祭1)
ようがくだんのれきし２,幺樂団の歴史２　～ Akyu's Untouched Score vol.2,名詞,Akyu's Untouched Score vol.2 (2006年12月30日 C71)
ようがくだんのれきし３,幺樂団の歴史３　～ Akyu's Untouched Score vol.3,名詞,Akyu's Untouched Score vol.3 (2006年12月30日 C71)
ようがくだんのれきし４,幺樂団の歴史４　～ Akyu's Untouched Score vol.4,名詞,Akyu's Untouched Score vol.4 (2007年12月30日 C73)
ようがくだんのれきし５,幺樂団の歴史５　～ Akyu's Untouched Score vol.5,名詞,Akyu's Untouched Score vol.5 (2007年12月30日 C73)
ようがくだんのれきし１,幺樂団の歴史１,名詞,Akyu's Untouched Score vol.1 (2006年5月21日 例大祭1)
ようがくだんのれきし２,幺樂団の歴史２,名詞,Akyu's Untouched Score vol.2 (2006年12月30日 C71)
ようがくだんのれきし３,幺樂団の歴史３,名詞,Akyu's Untouched Score vol.3 (2006年12月30日 C71)
ようがくだんのれきし４,幺樂団の歴史４,名詞,Akyu's Untouched Score vol.4 (2007年12月30日 C73)
ようがくだんのれきし５,幺樂団の歴史５,名詞,Akyu's Untouched Score vol.5 (2007年12月30日 C73)
ようがくだんのれきし,幺樂団の歴史,名詞,
げんそうきょくばっすい,幻想曲抜萃,名詞,東方萃夢想 ORIGINAL SOUNDTRACK (2005年8月14日 C68)
ぜんじんるいのてんがくろく,全人類ノ天楽録,名詞,東方緋想天 ORIGINAL SOUNDTRACK (2008年8月16日 C74)
かくねつぞうじんひそうてんそく,核熱造神ヒソウテンソク,名詞,東方非想天則 ORIGINAL SOUNDTRACK (2009年12月30日 C77)
あんこくのうがくしゅうしんきろう,暗黒能楽集・心綺楼,名詞,東方心綺楼 ORIGINAL SOUNDTRACK (2013年8月12日 C84)
もんきーぽせっしょんしゅうしんきろう,暗黒能楽集・心綺楼,名詞,東方心綺楼 ORIGINAL SOUNDTRACK (2013年8月12日 C84)
しんぴてきがっきょくしゅう,深秘的楽曲集　宇佐見菫子と秘密の部室,名詞,東方深秘録 ORIGINAL SOUNDTRACK (2015年8月14日 C88)
かんぜんひょういでぃすこぐらふぃ,完全憑依ディスコグラフィ,名詞,東方憑依華 ORIGINAL SOUND TRACK (2018年5月6日 例大祭15)
しゅうそうぎょく,秋霜玉,名詞,西方Project第1作目 (2000年12月30日 C59)
きおうぎょく,稀翁玉,名詞,西方Project第2作目 (2001年12月30日 C61)
ばんしりゅう,幡紫竜,名詞,西方Project第3作目 (2008年8月16日 C74)
たそがれさかば,黄昏酒場　～ Uwabami Breakers ～,名詞,呑んべぇ会 弾幕シューティングゲーム (2007年12月30日 C73)
たそがれさかば,黄昏酒場,名詞,呑んべぇ会 弾幕シューティングゲーム (2007年12月30日 C73)
しんまとうきでん,神魔討綺伝　～ Magus in Mystic Geometries.,名詞,D.N.A.Softwares 全方位シューティングゲーム (2008年3月8日 大図書館の読書会)
しんまとうきでん,神魔討綺伝,名詞,D.N.A.Softwares 全方位シューティングゲーム (2008年3月8日 大図書館の読書会)
とるてるまじっく,トルテルマジック,名詞,ぴえとろ 弾幕シューティングゲーム (2001年5月4日)
とうほうｐろじぇｃｔ,東方Project,名詞,
とうほうぷろじぇくと,東方Project,名詞,
とうほうぷろじぇくと,東方プロジェクト,名詞,
せいほうｐろじぇｃｔ,西方Project,名詞,
せいほうぷろじぇくと,西方Project,名詞,
せいほうぷろじぇくと,西方プロジェクト,名詞,
しゃんはいありすげんがくだん,上海アリス幻樂団,名詞,同人サークル
しゃんはいありす,上海アリス,名詞,
げんがくだん,幻樂団,名詞,
はくれいげんそうしょふ,博麗幻想書譜,名詞,
ずｎ,ZUN,人名,
ずん,ZUN,人名,
たそがれふろんてぃあ,黄昏フロンティア,名詞,同人サークル
しゅんさつされどう,瞬殺サレ道？,名詞,同人サークル
のんべぇかい,呑んべぇ会,名詞,同人サークル
あさいげんじ,唖采弦二,人名,求聞史紀、書籍文花帖、GoMの表紙担当、香霖堂の挿絵担当
はにわ,葉庭,人名,風の号外の漫画担当
まつくらねむ,松倉ねむ,人名,三月精第一部の漫画担当
ひらさかまこと,比良坂真琴,人名,三月精第二部・第三部の漫画担当
ひらさか,比良坂,人名,
あきえだ,秋★枝,人名,儚月抄(漫画版)の漫画担当
ときあめ,TOKIAME,人名,儚月抄(小説版)の挿絵担当
あらたとしひら,あらたとしひら,人名,儚月抄(4コマ版)の漫画担当
もりきたけし,守姫武士,人名,GoMの挿絵担当
あずまあや,あずまあや,人名,茨歌仙の漫画担当
はるかわもえ,春河もえ,人名,鈴奈庵の漫画担当
いちじんしゃ,一迅社,社名,
